1567232171.341898 Temp=28.3C and Humi=41.4% and O2=20.9%
1567232173.346562 Temp=28.3C and Humi=41.5% and O2=20.9%
1567232175.350626 Temp=28.3C and Humi=41.4% and O2=20.9%
1567232181.927137 Temp=28.3C and Humi=41.2% and O2=20.9%
1567232183.948917 Temp=28.3C and Humi=41.1% and O2=20.9%
1567232185.953099 Temp=28.3C and Humi=41.1% and O2=20.9%
1567232187.957206 Temp=28.3C and Humi=41.0% and O2=20.9%
1567232189.961710 Temp=28.3C and Humi=41.1% and O2=20.9%
1567232191.965963 Temp=28.3C and Humi=41.2% and O2=20.9%
1567232193.970828 Temp=28.3C and Humi=41.4% and O2=20.9%
1567232195.975048 Temp=28.3C and Humi=41.6% and O2=20.9%
1567232197.979117 Temp=28.3C and Humi=41.7% and O2=20.9%
1567232199.983412 Temp=28.3C and Humi=41.6% and O2=20.9%
1567232201.987724 Temp=28.3C and Humi=41.5% and O2=20.9%
1567232203.991854 Temp=28.3C and Humi=41.4% and O2=20.9%
1567232205.996082 Temp=28.3C and Humi=41.3% and O2=20.9%
1567232208.039151 Temp=28.3C and Humi=41.4% and O2=20.9%
1567232210.042871 Temp=28.3C and Humi=41.5% and O2=20.9%
1567232212.047324 Temp=28.3C and Humi=41.5% and O2=20.9%
1567232214.051736 Temp=28.3C and Humi=41.5% and O2=20.9%
1567232216.069395 Temp=28.3C and Humi=41.4% and O2=20.9%
1567232218.073483 Temp=28.3C and Humi=41.4% and O2=20.9%
1567232220.077638 Temp=28.3C and Humi=41.5% and O2=20.9%
1567232222.081771 Temp=28.3C and Humi=41.5% and O2=20.9%
1567232224.085564 Temp=28.3C and Humi=41.5% and O2=20.9%
1567232226.089704 Temp=28.3C and Humi=41.4% and O2=20.9%
1567232228.092778 Temp=28.3C and Humi=41.3% and O2=20.9%
1567232230.096832 Temp=28.3C and Humi=41.2% and O2=20.9%
1567232232.101219 Temp=28.3C and Humi=41.1% and O2=20.9%
1567232234.105614 Temp=28.3C and Humi=41.1% and O2=20.9%
1567232236.110116 Temp=28.3C and Humi=41.0% and O2=20.9%
1567232238.113584 Temp=28.3C and Humi=41.0% and O2=20.9%
1567232240.118140 Temp=28.3C and Humi=41.0% and O2=20.9%
1567232242.121820 Temp=28.3C and Humi=41.0% and O2=20.9%
1567232244.797616 Temp=28.3C and Humi=40.9% and O2=20.9%
1567232246.801739 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232248.805966 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232250.810011 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232252.813409 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232254.817459 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232256.821740 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232258.849222 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232260.853305 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232262.857308 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232264.861528 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232266.865614 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232268.869596 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232270.873679 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232272.877765 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232274.892341 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232276.897587 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232278.901846 Temp=28.3C and Humi=40.7% and O2=20.9%
1567232280.906011 Temp=28.3C and Humi=40.7% and O2=20.9%
1567232282.910198 Temp=28.3C and Humi=40.8% and O2=20.9%
1567232284.914472 Temp=28.3C and Humi=41.0% and O2=20.9%
1567232286.928383 Temp=28.3C and Humi=41.1% and O2=20.9%
1567232288.931674 Temp=28.3C and Humi=41.2% and O2=20.9%
1567232291.544718 Temp=28.3C and Humi=41.3% and O2=20.9%
1567232293.548796 Temp=28.4C and Humi=41.3% and O2=20.9%
1567232295.866146 Temp=28.4C and Humi=41.3% and O2=20.9%
1567232297.870346 Temp=28.3C and Humi=41.2% and O2=20.9%
1567232299.874548 Temp=28.3C and Humi=41.2% and O2=20.9%
1567232301.881531 Temp=28.3C and Humi=41.3% and O2=20.9%
1567232303.903229 Temp=28.3C and Humi=41.3% and O2=20.9%
1567232305.908469 Temp=28.4C and Humi=41.2% and O2=20.9%
1567232307.913169 Temp=28.3C and Humi=41.2% and O2=20.9%
1567232309.917228 Temp=28.3C and Humi=41.6% and O2=20.9%
1567232311.925210 Temp=28.4C and Humi=41.9% and O2=20.9%
1567232314.871722 Temp=28.4C and Humi=41.9% and O2=20.9%
1567232316.875787 Temp=28.4C and Humi=41.8% and O2=20.9%
1567232318.880027 Temp=28.4C and Humi=41.7% and O2=20.9%
1567232320.884188 Temp=28.4C and Humi=41.6% and O2=20.9%
1567232322.904789 Temp=28.4C and Humi=41.4% and O2=20.9%
1567232324.923606 Temp=28.4C and Humi=41.3% and O2=20.9%
1567232326.927948 Temp=28.4C and Humi=41.2% and O2=20.9%
1567232330.059474 Temp=28.4C and Humi=41.1% and O2=20.9%
1567232332.063617 Temp=28.4C and Humi=41.0% and O2=20.9%
1567232334.603341 Temp=28.4C and Humi=41.0% and O2=20.9%
1567232336.607570 Temp=28.4C and Humi=41.1% and O2=20.9%
1567232338.611734 Temp=28.4C and Humi=41.2% and O2=20.9%
1567232340.615916 Temp=28.4C and Humi=41.1% and O2=20.9%
1567232342.620126 Temp=28.4C and Humi=41.1% and O2=20.9%
1567232344.623440 Temp=28.4C and Humi=41.1% and O2=20.9%
1567232346.627451 Temp=28.4C and Humi=41.1% and O2=20.9%
1567232348.631769 Temp=28.4C and Humi=41.1% and O2=20.9%
